Config,Operational Savings,Embodied Savings,Carbon Savings
Baseline,0,0,0
Baseline-Resized,6,10,8
GreenSKU-Efficient,16,14,15
GreenSKU-CXL,15,32,24
GreenSKU-Full,14,38,26
