Cluster,OriginalClusterSize,NewClusterSize_Baseline,NewClusterSize_GreenSKU
0,498,198,220
1,543,143,240
2,544,144,220
3,499,199,220
4,506,266,168
5,578,178,220
6,261,61,128
7,274,74,128
8,272,72,120
9,276,76,128
10,529,169,264
11,546,146,240
12,550,190,264
13,494,194,240
14,567,167,240
15,306,126,108
16,917,377,360
17,621,141,264
18,551,151,220
19,623,143,264
20,523,163,264
21,518,158,264
22,538,238,180
23,511,111,240
24,269,69,120
25,619,139,312
26,237,77,112
27,272,152,80
28,325,85,176
29,273,113,104
30,463,143,224
31,287,87,112
32,125,85,24
33,118,78,24
34,497,197,240
35,517,217,200
