Region,Renewable %,Avg Grid Intensity,Avg Renewable Intensity,CI
europewest,79,291,27.67,0.0829693
useast,70,397,27.67,0.138469
ussouth,100,389,27.67,0.02767
uscentral,100,519,27.67,0.02767
europenorth,49,382,27.67,0.2083783
uswest2,47,24,27.67,0.0257249
uswest,47,240,27.67,0.1402049
usnorth,70,397,27.67,0.138469
